Year,MCS Certified Installations Total,
2010,2562,
2011,4881,
2012,8372,
2013,9823,
2014,8427,
2015,9222,
2016,7483,
2017,8124,
2018,9400,
2019,12001,
2020,12790,
2021,25848,
2022,29508,
2023,37724,
2024,56464,
2025,60367,
2026,16027,
2009,324,
