Year,MCS Certified Installations Total,
2010,4535,
2011,6984,
2012,10817,
2013,11224,
2014,10056,
2015,11189,
2016,9270,
2017,9839,
2018,11334,
2019,13787,
2020,15273,
2021,29508,
2022,32931,
2023,40429,
2024,58078,
2025,61228,
2026,16352,
2009,1003,
