Year,MCS Certified Installations Total,
2011,165,
2025,80,
2012,128,
2014,91,
2022,3,
2010,27,
2026,8,
2019,1,
2013,14,
2015,5,
2024,12,
2023,2,
2016,1,
2009,0,
2017,0,
2018,0,
2020,0,
2021,0,
