application_uid,authority_name,reference,planning_decision,n_docs_used,total_chars,used_refusal_section,mentions_heat_pump,n_labels,labels
20/18936/FUL,Brecon Beacons,,Withdraw,4,11142,False,True,1,policy_general
20/2811/FUL,Three Rivers,,withdrawn,2,3274,False,True,0,
20/4715/191,Barnet,,Withdrawn,2,2180,False,True,0,
20/504984/FULL,Mid Kent,,Application Withdrawn,3,5371,False,True,1,noise
20/AP/1493,Southwark,,Application Withdrawn,2,20376,False,True,5,noise; design_scale_siting; neighbour_amenity; policy_general; flood_drainage
20/AP/3075,Southwark,,Application Withdrawn,2,4487,False,True,1,policy_general
2015/1167,Barnsley,,Withdrawn Decision,1,537,False,True,1,permitted_development
2017/1628,Barnsley,,Withdrawn Decision,1,474,False,True,0,
2019/03011/FUL,Hammersmith and Fulham,,Application Withdrawn (Applicant/Agent),6,16122,False,True,3,neighbour_amenity; policy_general; flat_apartment
2019/032/PPF,Shetlands,,Withdrawn,1,26595,False,False,2,design_scale_siting; flood_drainage
2020/2880,Wandsworth,,Withdrawn,1,2036,False,True,1,flat_apartment
2021/1606,Wandsworth,,Withdrawn,4,4824,False,True,2,noise; flat_apartment
2021/2195,Wandsworth,,Withdrawn,1,2025,False,True,1,neighbour_amenity
2021/5601,Wandsworth,,Withdrawn,2,1930,False,True,0,
2021/5602,Wandsworth,,Withdrawn,5,11414,False,True,6,noise; heritage_conservation_area; design_scale_siting; permitted_development; policy_general; flat_apartment
2021/740,Tandridge,,"Granted , Appeal Decision : Withdrawn",2,26320,False,True,10,visual_amenity; noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flood_drainage; greenbelt; highways; biodiversity
2022/01533/FUL,Hammersmith and Fulham,,Application Withdrawn (Applicant/Agent),6,60532,False,True,6,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity
2022/01814/FUL,Hammersmith and Fulham,,Application Withdrawn (Applicant/Agent),6,42028,False,True,4,noise; design_scale_siting; neighbour_amenity; flat_apartment
2022/03650/DET,Hammersmith and Fulham,,Application Withdrawn (Applicant/Agent),3,10460,False,True,1,neighbour_amenity
2022/1865,Wandsworth,,Withdrawn,3,6904,False,True,5,noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general
2022/2680,Wandsworth,,Withdrawn,3,9043,False,True,7,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; flat_apartment
2022/4167,Wandsworth,,Withdrawn,1,2225,False,True,0,
2022/4835,Wandsworth,,Withdrawn,5,495628,False,True,9,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general; trees_landscaping; flood_drainage; biodiversity
2022/4869,Wandsworth,,Withdrawn,1,48757,False,True,4,visual_amenity; noise; design_scale_siting; permitted_development
2022/4891,Wandsworth,,Withdrawn,19,596023,False,True,8,visual_amenity; noise; heritage_listed; design_scale_siting; policy_general; flood_drainage; highways; flat_apartment
2022/4898,Wandsworth,,Withdrawn,15,466398,False,True,8,visual_amenity; noise; design_scale_siting; neighbour_amenity; policy_general; flood_drainage; highways; flat_apartment
2022/4899,Wandsworth,,Withdrawn,23,777373,False,True,8,visual_amenity; noise; heritage_listed; design_scale_siting; policy_general; flood_drainage; highways; flat_apartment
2022/4900,Wandsworth,,Withdrawn,15,431186,False,True,9,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general; flood_drainage; highways; flat_apartment
2022/4905,Wandsworth,,Withdrawn,17,451525,False,True,10,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flood_drainage; highways; flat_apartment
2022/4985,Wandsworth,,Withdrawn,12,352439,False,True,10,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flood_drainage; highways; flat_apartment
2023/01232/NMAT,Hammersmith and Fulham,,Application Withdrawn (Applicant/Agent),7,36835,False,True,8,visual_amenity; noise; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flood_drainage; flat_apartment
2023/02982/CLP,Hammersmith and Fulham,,Application Withdrawn (Applicant/Agent),3,9722,False,True,2,neighbour_amenity; flat_apartment
2023/0615/FUL,Rutland,,Application Withdrawn,1,2995,False,True,1,design_scale_siting
2023/0638,Wandsworth,,Withdrawn,3,36335,False,True,3,noise; design_scale_siting; flood_drainage
2023/0696,Wandsworth,,Withdrawn,1,16660,False,True,2,noise; design_scale_siting
2023/0981,Wandsworth,,Withdrawn,2,58577,False,True,3,noise; design_scale_siting; flat_apartment
2023/2622,Wandsworth,,Withdrawn,2,14165,False,True,7,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general; flood_drainage; flat_apartment
2023/279/PPF,Shetlands,,Withdrawn,4,9367,False,True,1,design_scale_siting
2023/783,Tandridge,,Withdrawn,1,1289,False,True,2,noise; neighbour_amenity
2024/004/PPF,Shetlands,,Withdrawn,4,17488,False,True,2,design_scale_siting; flood_drainage
2024/0106,Wandsworth,,Withdrawn,6,88683,False,True,6,visual_amenity; noise; design_scale_siting; neighbour_amenity; policy_general; flat_apartment
2024/1221/FULL,West Northamptonshire,,Withdrawn,1,2224,False,True,2,design_scale_siting; policy_general
2024/1582/FULL,West Northamptonshire,,Withdrawn,1,4329,False,True,2,noise; permitted_development
2024/2732/FULL,West Northamptonshire,,Withdrawn,1,2106,False,True,1,policy_general
