application_uid,authority_name,reference,planning_decision,n_docs_used,total_chars,used_refusal_section,mentions_heat_pump,n_labels,labels
0039/16,Babergh Mid Suffolk,,Refused,9,273548,True,False,3,visual_amenity; design_scale_siting; policy_general
141112/NMC/2024,Manchester,,Refused,2,12380,False,True,9,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; trees_landscaping; flood_drainage
15/00995/DPP,Midlothian,,Refuse,8,91556,False,True,12,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; trees_landscaping; flood_drainage; biodiversity; flat_apartment
15/01182/NMA,Argyll,,Refuse,3,7260,False,True,2,noise; neighbour_amenity
15/01715/FUL,East Northamptonshire,,Application Withdrawn/Declined,1,2527,False,True,4,heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity
15/0187/LBC,Hertsmere,,Refuse Consent,1,9574,True,False,3,heritage_listed; heritage_conservation_area; policy_general
15/01963/NMA,Chichester,,REFUSE,1,9023,False,True,3,visual_amenity; design_scale_siting; trees_landscaping
15/02614/DC,Glasgow,,Refuse,1,6270,False,True,6,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; biodiversity; flat_apartment
15/04548/NMA,Barnet,,Refuse,2,9700,False,True,5,visual_amenity; design_scale_siting; neighbour_amenity; policy_general; flat_apartment
15/070/PP,Orkney,,Application Refused,2,11981,True,False,3,neighbour_amenity; policy_general; flood_drainage
15/1682/FUL,Hertsmere,,Refuse Permission,1,35612,True,False,1,design_scale_siting
15/586/PP,Orkney,,Application Refused,2,10906,True,False,1,policy_general
15/B2299/NON,Aylesbury Vale,,Non-material amendments - refused,2,9419,False,True,5,visual_amenity; design_scale_siting; permitted_development; policy_general; flat_apartment
150283,Colchester,,Refuse,1,4390,False,True,4,noise; design_scale_siting; neighbour_amenity; policy_general
16/00432/S192,Brentwood,,Application Refused,1,3434,False,True,1,permitted_development
16/00460/FUL,West Oxfordshire,,Refuse,1,3292,True,True,3,heritage_listed; heritage_conservation_area; policy_general
16/00463/LBC,West Oxfordshire,,Refuse,1,1771,True,True,3,heritage_listed; design_scale_siting; policy_general
16/01796/FUL,Sevenoaks,,Refused,2,29522,True,False,3,visual_amenity; policy_general; greenbelt
16/018/PP,Orkney,,Application Refused,2,29018,True,False,2,neighbour_amenity; policy_general
16/02627/NMMA,Hart,,Refuse,2,13590,True,False,0,
16/02911/FUL,Sevenoaks,,Refused,2,28880,True,False,3,visual_amenity; policy_general; greenbelt
16/11966/FULL,Westminster,,Application Refused,2,21619,True,False,2,visual_amenity; heritage_conservation_area
16/1668,Brent,,Refuse Planning Permission,2,11826,False,True,8,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flat_apartment
16/1968/FUL,Hertsmere,,Refuse Permission,1,42114,True,False,4,noise; neighbour_amenity; policy_general; highways
16/560/PP,Orkney,,Application Refused,2,17098,True,False,0,
17/01434,Dover,,Refuse Planning Permission,12,826406,True,False,3,design_scale_siting; policy_general; biodiversity
17/01463/FUL,Stratford on Avon,,Refusal of Planning Permission,1,55211,True,False,0,
17/02029/FUL,Edinburgh,,Refused,3,18796,True,False,3,visual_amenity; design_scale_siting; policy_general
17/02566/FULLS,Test Valley,,REFUSE,1,19173,False,True,7,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general
17/02592/NONMAT,Northumberland (County),,Application Refused,2,11657,True,True,4,visual_amenity; noise; design_scale_siting; policy_general
17/02978/CLE,Edinburgh,,Refused,2,9705,False,True,6,visual_amenity; noise; heritage_listed; heritage_conservation_area; permitted_development; flat_apartment
17/04496/FUL,Croydon,,Permission Refused,2,11416,True,True,3,noise; design_scale_siting; neighbour_amenity
17/093/PP,Orkney,,Application Refused,2,16135,True,False,1,policy_general
17/300/PP,Orkney,,Application Refused,2,16867,True,False,0,
17/495/AMC,Orkney,,Application Refused,2,24845,True,False,4,visual_amenity; design_scale_siting; neighbour_amenity; policy_general
18/02254/LBC,Edinburgh,,Refused,3,29395,True,False,3,visual_amenity; heritage_listed; heritage_conservation_area
18/069/PP,Orkney,,Application Refused,2,8971,True,True,3,visual_amenity; heritage_conservation_area; policy_general
18/07219/FU,Leeds,,Refused,2,16159,False,True,8,visual_amenity; noise; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; highways
18/09405/CLEUD,Westminster,,Application Refused,2,20658,True,False,0,
18/16738/FUL,Brecon Beacons,,Refuse,3,20365,True,False,3,noise; neighbour_amenity; policy_general
18/16739/FUL,Brecon Beacons,,Refuse,3,18044,True,False,3,noise; neighbour_amenity; policy_general
18/419/PP,Orkney,,Application Refused,2,27747,True,False,1,flood_drainage
18/A3944/NON,Aylesbury Vale,,Non-material amendments - refused,2,8376,False,True,6,visual_amenity; noise; design_scale_siting; permitted_development; flood_drainage; biodiversity
19/00264/APP,Aylesbury Vale,,Householder Refusal,2,39528,True,False,7,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; flood_drainage
19/00265/ALB,Aylesbury Vale,,Listed Building Refusal,2,19663,True,False,5,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general
19/00985/B,Isle of Man,,Refused,2,20886,True,True,5,visual_amenity; noise; design_scale_siting; policy_general; flat_apartment
19/01697/PP,Argyll,,Refuse,2,66492,True,False,0,
19/03383/HOUSE,Sevenoaks,,Refused,2,15790,True,True,3,noise; neighbour_amenity; policy_general
19/05225/FUL,Shropshire,,Refuse,2,29415,True,True,7,noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; greenbelt
19/05226/LBC,Shropshire,,Refuse,2,24468,True,False,5,noise; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general
19/071/PP,Orkney,,Application Refused,2,14947,True,False,1,flood_drainage
19/094/PP,Orkney,,Application Refused,2,30656,True,False,1,policy_general
193176,Wokingham,,Refused,3,6859,False,True,1,flood_drainage
20/00151/FUL,Lancaster,,Application Refused,1,9516,True,False,0,
20/00456/B,Isle of Man,,Refused,2,17362,True,True,6,visual_amenity; noise; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general
20/00508/B,Isle of Man,,Refused,3,18887,True,True,4,visual_amenity; noise; design_scale_siting; policy_general
20/01930/APP,Aylesbury Vale,,Refused,2,23613,False,True,9,visual_amenity; noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flood_drainage; highways; biodiversity
20/03079/FUL,Oxford,,Refused,2,25667,True,False,6,heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flood_drainage
20/03080/LBC,Oxford,,Refused,2,27534,True,False,5,heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general
20/03538/CLUP,Cherwell,,Refused,1,4096,False,True,7,heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; greenbelt
20/0361/CLEU,Caerphilly,,Refused,3,6616,False,True,3,design_scale_siting; permitted_development; policy_general
20/08209/FU,Leeds,,Refused,2,15048,False,True,8,visual_amenity; noise; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; highways
20/08356/FULL,Westminster,,Application Refused,2,21494,True,False,3,visual_amenity; heritage_conservation_area; design_scale_siting
20/157/PP,Orkney,,Application Refused,3,76145,True,False,1,design_scale_siting
20/167/HH,Orkney,,Application Refused,2,14212,True,False,0,
20/170/PP,Orkney,,Application Refused,2,27713,True,False,1,visual_amenity
20/AP/3668,Southwark,,Minor - REFUSED,2,63300,True,False,7,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flat_apartment
2011/1538/NMA1,Tandridge,,Refused,2,3859,False,True,2,visual_amenity; flat_apartment
201449,Wokingham,,Refused,9,585766,False,True,10,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flood_drainage; flat_apartment
2015/00803/VAR,Hammersmith and Fulham,,Application Refused,3,27712,False,True,5,visual_amenity; design_scale_siting; permitted_development; policy_general; flood_drainage
2016/01661/NMAT,Hammersmith and Fulham,,Application Refused,1,17926,True,False,3,visual_amenity; neighbour_amenity; policy_general
2017/2204/NMA,Mendip,,Refusal,2,3549,True,False,1,visual_amenity
2017/2805,Elmbridge,,Refuse Planning Permission,5,2281671,False,True,10,visual_amenity; noise; heritage_conservation_area; design_scale_siting; permitted_development; policy_general; trees_landscaping; flood_drainage; biodiversity; flat_apartment
2018/001/PPF,Shetlands,,Application Refused,5,569969,False,True,6,visual_amenity; noise; design_scale_siting; policy_general; flood_drainage; highways
2019/02760/FUL,Hammersmith and Fulham,,Application Refused,2,23550,True,True,4,visual_amenity; noise; neighbour_amenity; policy_general
2020/2041/FUL,Swansea,,Refuse,1,6388,True,True,3,visual_amenity; heritage_conservation_area; design_scale_siting
2021/0926/FUL,Rutland,,Refuse,3,26991,True,False,2,neighbour_amenity; flat_apartment
2021/0993,Wandsworth,,Refuse,4,48378,True,True,1,permitted_development
2021/1913/FUL,Swansea,,Refuse,1,6586,True,True,3,visual_amenity; design_scale_siting; policy_general
2021/2100/NMA1,Tandridge,,Refused,2,3508,False,True,2,permitted_development; policy_general
2021/339/PPF,Shetlands,,Application Refused,16,212809,True,True,1,flood_drainage
2021/5620,Wandsworth,,Refuse,5,51785,True,False,3,visual_amenity; heritage_listed; policy_general
20211849,Leicester,,Refusal,2,10888,True,True,1,permitted_development
2022/00300/DET,Hammersmith and Fulham,,Application Refused,2,17525,True,True,2,noise; policy_general
2022/01015/1/NMA,Glamorgan,,Refused,2,16604,False,True,6,visual_amenity; noise; design_scale_siting; neighbour_amenity; policy_general; flood_drainage
2022/0218,Wandsworth,,Refuse,6,311698,True,True,4,noise; design_scale_siting; neighbour_amenity; policy_general
2022/0394/FUL,Swansea,,Refuse,1,7303,True,True,3,visual_amenity; design_scale_siting; policy_general
2022/0802,Wandsworth,,Refuse,8,152836,False,True,7,noise; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flood_drainage
2022/1685,Wandsworth,,Refuse,3,29912,True,True,2,permitted_development; policy_general
2022/186/NMV,Shetlands,,Application Refused,1,2177,False,True,1,neighbour_amenity
2023/01249/CLE,Hammersmith and Fulham,,Application Refused,3,23305,True,True,0,
2023/02073/DET,Hammersmith and Fulham,,Application Refused,3,22418,True,False,1,policy_general
2023/02943/DET,Hammersmith and Fulham,,Application Refused,3,44081,True,False,1,policy_general
2023/0360,Rossendale,,Refused,2,21988,True,False,5,visual_amenity; heritage_conservation_area; design_scale_siting; policy_general; flat_apartment
2023/06952/PA,Birmingham,,Refuse,2,10319,True,True,2,noise; policy_general
2023/07876/PA,Birmingham,,Refuse,1,4478,False,True,3,noise; neighbour_amenity; policy_general
2023/0860,Gedling,,Refusal,2,12406,True,False,0,
2023/0942,Wandsworth,,Refuse,4,26712,True,True,5,visual_amenity; noise; design_scale_siting; neighbour_amenity; policy_general
2023/1012/FUL,Rutland,,Refuse,2,48310,True,False,8,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; highways; biodiversity
2023/1097,Wandsworth,,Refuse,12,290018,True,True,5,noise; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general
2023/1107,Wandsworth,,Refuse,11,216506,True,False,4,heritage_listed; heritage_conservation_area; design_scale_siting; policy_general
2023/1967/FUL,Swansea,,Refuse,1,6047,True,True,2,neighbour_amenity; policy_general
2023/2112/FUL,Swansea,,Refuse,1,7459,True,True,5,visual_amenity; design_scale_siting; neighbour_amenity; policy_general; flat_apartment
2023/2819,Wandsworth,,Refuse,2,10239,False,True,4,heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general
2023/4447,Wandsworth,,Refuse,4,26580,True,False,6,visual_amenity; noise; design_scale_siting; neighbour_amenity; policy_general; flat_apartment
2023/5130/FULL,West Northamptonshire,,Appeal Dismissed (Against Refusal),3,41276,False,True,10,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; biodiversity; flat_apartment
20231907,Leicester,,Refusal,2,16922,True,True,3,noise; design_scale_siting; policy_general
20232131,Leicester,,Refusal,2,18060,True,True,3,noise; neighbour_amenity; policy_general
2024/00115/VAR,Hammersmith and Fulham,,Application Refused,3,38662,True,False,2,neighbour_amenity; policy_general
2024/00320/PA,Birmingham,,Refuse,1,4849,False,True,3,noise; neighbour_amenity; policy_general
2024/00885/FUL,Hammersmith and Fulham,,Application Refused,5,142112,True,False,2,noise; policy_general
2024/00914/VAR,Hammersmith and Fulham,,Application Refused,7,414805,True,False,1,policy_general
2024/0109,Wandsworth,,Refuse,2,20575,True,True,2,permitted_development; policy_general
2024/01379/PA,Birmingham,,Refuse,2,14679,True,True,2,noise; policy_general
2024/0302/FUL,Swansea,,Refuse,1,6413,True,True,1,visual_amenity
2024/0345,Wandsworth,,Refuse,12,314303,True,False,5,visual_amenity; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general
2024/0346,Rossendale,,Refused,2,26194,True,False,3,visual_amenity; heritage_listed; policy_general
2024/0349,Rossendale,,Refused,2,22366,True,False,3,visual_amenity; heritage_listed; policy_general
2024/0448/DIS,Rutland,,Refuse,1,2445,False,True,4,noise; design_scale_siting; permitted_development; biodiversity
2024/05671/PA,Birmingham,,Refuse,2,12297,True,True,2,noise; policy_general
2024/06479/PA,Birmingham,,Refuse,1,4467,False,True,4,heritage_listed; heritage_conservation_area; policy_general; flat_apartment
2024/07932/PA,Birmingham,,Refuse,2,10242,True,True,2,noise; policy_general
2024/0893,Wandsworth,,Refuse,2,10545,False,True,9,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flat_apartment
2024/1056,Barnsley,,Refuse,4,88495,True,False,1,greenbelt
2024/1095/NMA,Swansea,,Refuse,1,5062,False,True,4,visual_amenity; design_scale_siting; neighbour_amenity; flat_apartment
2024/2006/FUL,Swansea,,Refuse,1,6223,True,True,3,visual_amenity; design_scale_siting; flat_apartment
2024/2879,Wandsworth,,Refuse,4,37905,True,True,2,permitted_development; policy_general
2024/2931,Wandsworth,,Refuse,3,29567,False,True,9,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; biodiversity; flat_apartment
2024/4423,Wandsworth,,Refuse,6,48935,False,True,8,visual_amenity; noise; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flat_apartment
20240391,Leicester,,Refusal,2,14042,True,True,2,noise; policy_general
20240498,Leicester,,Refusal,2,12525,True,True,2,noise; policy_general
20241846,Leicester,,Refusal,2,15788,True,True,2,noise; policy_general
2025/0490,Wandsworth,,Refuse,2,69127,False,True,4,visual_amenity; noise; design_scale_siting; permitted_development
2025/0603/FUL,Swansea,,Refuse,1,6779,True,True,5,visual_amenity; noise; design_scale_siting; neighbour_amenity; policy_general
2025/06987/PA,Birmingham,,Refuse,2,12550,True,True,2,noise; policy_general
2025/0787,Wandsworth,,Refuse,2,12327,False,True,5,visual_amenity; heritage_listed; heritage_conservation_area; policy_general; flood_drainage
2025/1237,Wandsworth,,Refuse,2,15863,False,True,3,design_scale_siting; neighbour_amenity; policy_general
2025/1404,Wandsworth,,Refuse,3,36418,False,True,5,noise; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general
2025/3109,Wandsworth,,Refuse,2,9242,False,True,4,visual_amenity; heritage_conservation_area; policy_general; flood_drainage
2025/3716,Wandsworth,,Refuse,2,10581,False,True,5,visual_amenity; design_scale_siting; neighbour_amenity; policy_general; flat_apartment
2025/4470,Wandsworth,,Refuse,3,60086,True,True,6,visual_amenity; noise; design_scale_siting; neighbour_amenity; policy_general; flat_apartment
2025/774,Tandridge,,"Refused , Appeal Decision : Withdrawn",3,27549,True,True,5,visual_amenity; design_scale_siting; neighbour_amenity; policy_general; greenbelt
2026/0021/S73,Swansea,,Refuse,1,6438,True,True,2,visual_amenity; heritage_conservation_area
202799CPE,Ealing,,Refused,2,23169,False,True,9,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flat_apartment
21/00030/LDCP,Lambeth,,Refuse Permission,2,19782,True,False,0,
21/00164/VAR,Rushcliffe,,Refuse permission with reasons,2,13109,False,True,8,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; highways
21/00223/FUL,Cheltenham,,Refuse,2,21064,True,True,7,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general
21/00383/NMA1,Cambridge,,Refused Permission,3,11688,False,True,4,design_scale_siting; permitted_development; policy_general; flat_apartment
21/00554/NMA,Kingston,,Refuse,1,9079,False,True,5,visual_amenity; noise; design_scale_siting; neighbour_amenity; policy_general
21/00718/FUL,Chorley,,Refuse Full Planning Permission,1,8811,False,True,3,noise; neighbour_amenity; policy_general
21/00795/HHOLD,Reigate,,Refused,3,20823,True,False,3,design_scale_siting; policy_general; greenbelt
21/00925/FUL,Stratford on Avon,,Refusal of Planning Permission,1,9314,False,True,3,visual_amenity; design_scale_siting; policy_general
21/01199/FUL,Northumberland (County),,Application Refused,3,38914,True,True,4,noise; neighbour_amenity; policy_general; biodiversity
21/01367/NMA,Bath,,REFUSE,2,10492,False,True,7,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flood_drainage
21/01698/CTP,Bassetlaw,,Refuse,4,17827,False,True,4,design_scale_siting; permitted_development; policy_general; flood_drainage
21/02318/FULL,Fife,,Refusal/Enforcement Action,8,300064,True,True,4,noise; design_scale_siting; permitted_development; neighbour_amenity
21/02790/FUL,Glasgow,,Refuse,2,18837,False,True,8,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; biodiversity; flat_apartment
21/02868/DETAIL,Sevenoaks,,Refused,2,7421,True,True,2,neighbour_amenity; policy_general
21/03004/APP,Aylesbury Vale,,Householder Refusal,2,19956,False,True,11,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; trees_landscaping; flood_drainage; greenbelt; highways; biodiversity
21/03209/FUL,Stratford on Avon,,Refusal of Planning Permission,1,8137,False,True,2,heritage_listed; policy_general
21/03210/LBC,Stratford on Avon,,Refusal of Listed Building Consent,1,6930,False,True,3,heritage_listed; heritage_conservation_area; policy_general
21/03488/CLE,Leeds,,Refused,1,4088,False,True,1,policy_general
21/03535/FUL,Stratford on Avon,,Refusal of Planning Permission,1,8306,False,True,4,visual_amenity; noise; neighbour_amenity; policy_general
21/03563/CONDA,Cambridge,,Refuse to Discharge Condition,2,8573,False,True,4,noise; design_scale_siting; neighbour_amenity; policy_general
21/03638/NMA,West Oxfordshire,,Refuse,1,2238,True,False,1,permitted_development
21/03799/FU,Leeds,,Refused,2,15797,False,True,5,visual_amenity; noise; design_scale_siting; neighbour_amenity; policy_general
21/03965/FUL,Bath,,REFUSE,8,176537,True,False,1,heritage_listed
21/03966/LBA,Bath,,REFUSE,8,133110,True,False,1,heritage_listed
21/046/PP,Orkney,,Application Refused,2,34901,True,False,0,
21/04768/NONMAT,Cotswold,,Application Refused,1,3198,False,True,4,visual_amenity; heritage_listed; design_scale_siting; policy_general
21/06347/FUL,Croydon,,Permission Refused,3,18335,True,True,4,visual_amenity; heritage_conservation_area; design_scale_siting; policy_general
21/074/PP,Orkney,,Application Refused,2,34053,True,False,0,
21/07542/NMA,Westminster,,Application Refused,2,22686,True,False,0,
21/08486/FU,Leeds,,Refused,2,21626,False,True,5,visual_amenity; design_scale_siting; neighbour_amenity; policy_general; flat_apartment
21/089/PP,Orkney,,Application Refused,2,18826,True,False,3,visual_amenity; noise; neighbour_amenity
21/0910/HD,Greenwich,,Refuse,2,27303,True,True,6,visual_amenity; noise; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general
21/094/PP,Orkney,,Application Refused,2,36806,True,False,2,policy_general; flood_drainage
21/229/HH,Orkney,,Application Refused,2,23832,True,False,3,visual_amenity; design_scale_siting; neighbour_amenity
21/2876/CP,Greenwich,,Refuse,3,25430,True,True,2,permitted_development; policy_general
21/3177/F,Greenwich,,Refuse,2,26233,True,True,7,visual_amenity; noise; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flat_apartment
21/3178/L,Greenwich,,Refuse,2,18235,True,False,0,
21/477/PP,Orkney,,Application Refused,2,29405,True,False,0,
21/AP/1986,Southwark,,Minor - REFUSED,1,9598,True,False,6,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general; greenbelt
21/AP/3196,Southwark,,Listed Building Consent - REFUSED,2,30033,True,True,3,heritage_listed; design_scale_siting; policy_general
21/P/00538,Guildford,,Refuse,3,23022,True,False,2,policy_general; greenbelt
21/P/01193,Guildford,,Refuse,2,85677,True,False,5,noise; design_scale_siting; policy_general; greenbelt; biodiversity
21186/25,Bolton,,Refused,2,20905,False,True,6,visual_amenity; noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general
22/00018/HOU,Kingston,,Refuse,1,13702,True,True,2,visual_amenity; design_scale_siting
22/00033/LDCP,Lambeth,,Refuse Permission,2,14443,False,True,6,visual_amenity; heritage_conservation_area; design_scale_siting; permitted_development; policy_general; flat_apartment
22/00071/FUL,Shropshire,,Refuse,3,50765,True,False,3,design_scale_siting; policy_general; flood_drainage
22/0009/NMA,Surrey Heath,,Refuse,2,9696,False,True,2,neighbour_amenity; policy_general
22/00113/FUL,Glasgow,,Refuse,2,33589,False,True,8,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; biodiversity; flat_apartment
22/00129/DPP,Midlothian,,Refuse,2,32676,False,True,6,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity
22/00130/LBC,Midlothian,,Refuse,2,30390,False,True,6,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity
22/00243/HOU,Spelthorne,,Application Refused,2,23903,True,True,0,
22/00253/FUL,Shropshire,,Refuse,2,26240,True,True,5,noise; heritage_listed; heritage_conservation_area; neighbour_amenity; policy_general
22/00254/LBC,Shropshire,,Refuse,2,22779,True,False,3,heritage_listed; heritage_conservation_area; policy_general
22/00258/CLP,Reigate,,Refused,2,19909,True,True,1,permitted_development
22/00342/NMA2,South Cambridgeshire,,Refused Permission,3,10437,False,True,5,heritage_listed; design_scale_siting; permitted_development; neighbour_amenity; policy_general
22/00407/DPP,Midlothian,,Refuse,2,17318,False,True,7,visual_amenity; noise; design_scale_siting; neighbour_amenity; policy_general; flood_drainage; flat_apartment
22/00428/B,Isle of Man,,Refused,2,15922,True,True,9,visual_amenity; noise; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; highways; flat_apartment
22/00746/B,Isle of Man,,Refused,2,16465,True,True,4,visual_amenity; noise; heritage_conservation_area; design_scale_siting
22/00932/CLPU,Scottish Borders,,Refused,1,2576,False,True,1,permitted_development
22/01106,Dover,,Refuse Planning Permission,3,21125,False,True,8,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flood_drainage; biodiversity
22/01369/CLPROP,North Tyneside,,Application Refused,2,13529,False,True,8,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; policy_general; flat_apartment
22/01486/CLC,Kingston,,Refuse,1,8644,False,True,4,visual_amenity; design_scale_siting; neighbour_amenity; policy_general
22/01657/CLPROP,North Tyneside,,Application Refused,2,10385,False,True,7,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; policy_general; flat_apartment
22/01673/FUL,Oxford,,Refused,3,62000,True,False,3,policy_general; trees_landscaping; flood_drainage
22/01784/FUL,Lambeth,,Refuse Permission,2,19566,True,False,2,visual_amenity; policy_general
22/01786/PP,Argyll,,Refuse,11,33446,True,False,0,
22/02001/FUL,Sheffield,,Refuse,3,34225,False,True,12,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; greenbelt; highways; biodiversity; flat_apartment
22/02046/FUL,Oxford,,Refused,3,52365,True,False,7,noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flood_drainage
22/02173/NMA,Argyll,,Refuse,3,124957,False,True,1,design_scale_siting
22/02222/FUL,Lambeth,,Refuse Permission,2,43380,True,True,6,visual_amenity; noise; design_scale_siting; neighbour_amenity; policy_general; flood_drainage
22/02423/F,Cherwell,,Refused,2,19382,True,True,4,noise; design_scale_siting; neighbour_amenity; policy_general
22/02423/FUL,Lambeth,,Refuse Permission,2,29152,True,False,2,heritage_conservation_area; policy_general
22/02810/FULLN,Test Valley,,REFUSE,2,37077,False,True,9,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; highways; biodiversity
22/02811/LBWN,Test Valley,,REFUSE,2,30288,False,True,7,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general; biodiversity
22/02878/FUL,Oxford,,Refused,2,45498,True,False,6,noise; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general; flood_drainage
22/03040/FUL,Oxford,,Refused,2,42647,True,False,6,noise; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general; flood_drainage
22/03122/FUL,Lambeth,,Refuse Permission,2,29372,True,True,4,visual_amenity; noise; neighbour_amenity; policy_general
22/03149/FUL,Lambeth,,Refuse Permission,1,8731,True,True,5,visual_amenity; noise; design_scale_siting; neighbour_amenity; policy_general
22/03683/LBC,Bradford,,Refused,3,35047,True,True,5,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; policy_general
22/0382/DC,Pembrokeshire,,Part Refused_Part Approved,2,7727,False,True,3,heritage_listed; heritage_conservation_area; policy_general
22/0580/CLPU,Caerphilly,,Refused,3,27179,False,True,7,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; policy_general; flat_apartment
22/05820/FULL,Westminster,,Application Refused,2,42751,True,False,3,visual_amenity; design_scale_siting; policy_general
22/05858/FUL,Edinburgh,,Refused,2,16724,True,False,4,visual_amenity; heritage_listed; heritage_conservation_area; policy_general
22/05859/LBC,Edinburgh,,Refused,2,12419,True,False,3,visual_amenity; heritage_listed; heritage_conservation_area
22/05944/FULL,Westminster,,Application Refused,2,42277,True,False,0,
22/0672/SD,Greenwich,,Refuse,2,18345,True,True,0,
22/07052/FULL,Westminster,,Application Refused,4,191255,True,False,0,
22/0795/HSE,Barnet,,Refuse,4,317593,True,False,0,
22/08149/FULL,Westminster,,Application Refused,2,22950,True,False,5,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity
22/08315/FULL,Westminster,,Application Refused,4,84587,True,False,3,visual_amenity; heritage_conservation_area; design_scale_siting
22/096/PP,Orkney,,Application Refused,2,42459,True,False,1,design_scale_siting
22/135/PP,Orkney,,Application Refused,2,34888,True,False,0,
22/1386/NMA,Barnet,,Refuse,1,6705,False,True,5,heritage_listed; heritage_conservation_area; design_scale_siting; policy_general; flat_apartment
22/1920/NMA,Three Rivers,,refused,1,5062,False,True,7,visual_amenity; noise; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flat_apartment
22/2315/FUL,Three Rivers,,refused,1,11319,True,False,6,visual_amenity; heritage_listed; design_scale_siting; neighbour_amenity; policy_general; biodiversity
22/274/PP,Orkney,,Application Refused,2,14985,True,False,0,
