sample_bucket,uid,reference,authority_name,start_date,description,planning_application_status,planning_decision,portal_type,documentation_url,planit_link
other_docs,21/03499/COND,,Bath,2021-07-21,"Discharge of conditions 2 (External Lighting) and 4 (Screening of air source heat pump) of application 21/01592/FUL. (Construction of new swimming pool, pool pump and storage cupboards, new air source heat pump, extension of rear paved area and adjacent stone retaining walls.)",Conditions,Condition Discharged/Obligation,other,https://www.bathnes.gov.uk/planningdocuments=21%2F03499%2FCOND,https://www.planit.org.uk/planapplic/Bath/21/03499/COND/
other_docs,21/04908/CLPU,,Bath,2021-11-01,Installation of photovoltaic cells to roof and installation of air source heat pump (Certificate of Lawfulness of Proposed Use).,Permitted,LAWFUL,other,https://www.bathnes.gov.uk/planningdocuments=21%2F04908%2FCLPU,https://www.planit.org.uk/planapplic/Bath/21/04908/CLPU/
other_docs,BH2021/00316,,Brighton,2021-01-28,Installation of Air Source Heat Pump to rear.,Permitted,Approved,other,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=QNNHDADMJ1M00,https://www.planit.org.uk/planapplic/Brighton/BH2021/00316/
other_docs,BH2021/00416,,Brighton,2021-02-05,"Application for variation of condition 1 of application BH2019/03377 (Erection of a part two, part three storey (plus lower ground level) building to form 4no. new flats (C3), and associated works. The 4no. flats will consist of 2no. two bedroom flats, and 2no. studio flats) to amend approved drawings for revised window to sizes and spacing, alterations to rear staircase & cladding, addition of air source heat pumps to lower roof & rain water pipe to west elevation and changes to lower ground floor bedroom and en-suite layouts.",Permitted,Approved,other,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=QO2C69DMIXQ00,https://www.planit.org.uk/planapplic/Brighton/BH2021/00416/
other_no_docs,AVA/2021/0569,,Amber Valley,2021-05-17,Installation of air source heat pump,Permitted,PER,other,,https://www.planit.org.uk/planapplic/AmberValley/AVA/2021/0569/
other_no_docs,AVA/2021/0801,,Amber Valley,2021-07-13,Listed building consent for installation of air source heat pump.,Permitted,PER,other,,https://www.planit.org.uk/planapplic/AmberValley/AVA/2021/0801/
other_no_docs,AVA/2021/0921,,Amber Valley,2021-08-12,"Conversion and sub-division of former library (block 1) into a two bedroom dwelling and five Use Class E units, conversion of outbuilding (block 2) into office (Use Class E), retention of existing garage (block 3), installation of air source heat pump, provision of parking areas and associated landscaping. (This may affect the setting of a Listed Building and/or Conservation Area)",Permitted,PER,other,,https://www.planit.org.uk/planapplic/AmberValley/AVA/2021/0921/
other_no_docs,20/01317/AMND/AS,,Ashford,2021-02-02,"Non material minor amendment to planning permission 20/01317/AS (Proposed conversion and extension of an outbuilding to form a residential annexe) to include changes to fenestration, addition of chimney, air source heat pump and garage doors",Permitted,Amended Plans Approved,other,,https://www.planit.org.uk/planapplic/Ashford/20/01317/AMND/AS/
other_no_docs,21/00276/AS,,Ashford,2021-02-15,Installation of freestanding Air Source Heat Pump to rear of property.,Permitted,Permit,other,,https://www.planit.org.uk/planapplic/Ashford/21/00276/AS/
unknown,AWDM/0790/21,,Adur and Worthing,2021-04-30,Installation of 8no. air source heat pumps on roof,Permitted,Application Permitted,unknown,https://docs.adur-worthing.gov.uk/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=DA&FOLDER1_REF=AWDM%2F0790%2F21,https://www.planit.org.uk/planapplic/AdurWorthing/AWDM/0790/21/
unknown,AWDM/0800/21,,Adur and Worthing,2021-05-04,Installation of new external air source heat pump units within a timber enclosure within the grounds of Marsh House,Permitted,Application Permitted,unknown,https://docs.adur-worthing.gov.uk/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=DA&FOLDER1_REF=AWDM%2F0800%2F21,https://www.planit.org.uk/planapplic/AdurWorthing/AWDM/0800/21/
unknown,AWDM/1207/21,,Adur and Worthing,2021-06-24,External Air Source Heat pump and louvred timber housing and 2no. conical LED wall mounted wall lights to North West elevation.,Permitted,Application Permitted,unknown,https://docs.adur-worthing.gov.uk/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=DA&FOLDER1_REF=AWDM%2F1207%2F21,https://www.planit.org.uk/planapplic/AdurWorthing/AWDM/1207/21/
unknown,AWDM/1544/21,,Adur and Worthing,2021-08-12,Demolition of existing two storey house and construction of a three storey flat roofed 4 bedroom link detached dwelling with balcony at first floor and terrace at second floor south elevations and two air source heat pumps,Permitted,Application Permitted,unknown,https://docs.adur-worthing.gov.uk/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=DA&FOLDER1_REF=AWDM%2F1544%2F21,https://www.planit.org.uk/planapplic/AdurWorthing/AWDM/1544/21/
unknown,AWDM/1732/21,,Adur and Worthing,2021-09-15,"Construction of a new sports hall with dry changing rooms, sports storage, accessible WC, and plantroom, open air-source heat pump enclosure, and minor modifications to the existing footpath.",Permitted,Application Permitted,unknown,https://docs.adur-worthing.gov.uk/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=DA&FOLDER1_REF=AWDM%2F1732%2F21,https://www.planit.org.uk/planapplic/AdurWorthing/AWDM/1732/21/
