authority,dominant_region,n_decided,n_refused,refusal_rate,no_decision_share
Durham,North East / Yorkshire,90,1,1.1,20.8
Cardiff,Wales,93,1,1.1,23.4
East Devon,South West,95,1,1.1,1.0
Fife,Scotland,209,2,1.0,2.3
Shetlands,Scotland,334,3,0.9,2.8
Anglesey,Wales,132,1,0.8,5.5
Highland,Scotland,274,1,0.4,7.9
Ryedale,North East / Yorkshire,62,0,0.0,6.1
South Lanarkshire,Scotland,59,0,0.0,7.7
Dartmoor,South West,55,0,0.0,3.1
